EBCDIC-JP-KANA  fail: EBCDIC-JP-KANA
EBCDICPT  fail: EBCDICPT
EBCDIC-PT  fail: EBCDIC-PT
EBCDICUK  fail: EBCDICUK
EBCDIC-UK  fail: EBCDIC-UK
EBCDICUS  fail: EBCDICUS
EBCDIC-US  fail: EBCDIC-US
ECMA-114  fail: ECMA-114
ECMA-118  fail: ECMA-118
ECMA-128  ok: ECMA-128
ECMACYRILLIC  ok: ECMACYRILLIC
ECMA-CYRILLIC  ok: ECMA-CYRILLIC
ELOT_928  fail: ELOT_928
ES  fail: ES
ES2  fail: ES2
EUCCN  fail: EUCCN
EUC-CN  fail: EUC-CN
EUC-JISX0213  fail: EUC-JISX0213
EUCJP  fail: EUCJP
EUC-JP  fail: EUC-JP
EUC-JP-MS  fail: EUC-JP-MS
EUCJP-MS  fail: EUCJP-MS
EUCJP-OPEN  fail: EUCJP-OPEN
EUCJP-WIN  fail: EUCJP-WIN
EUCKR  fail: EUCKR
EUC-KR  fail: EUC-KR
EUCTW  fail: EUCTW
EUC-TW  fail: EUC-TW
FI  fail: FI
FR  fail: FR
GB  fail: GB
GB13000  fail: GB13000
GB18030  fail: GB18030
GB_198880  fail: GB_198880
GB_1988-80  fail: GB_1988-80
GB2312  fail: GB2312
GBK  fail: GBK
GEORGIAN-ACADEMY  ok: GEORGIAN-ACADEMY
GEORGIAN-PS  ok: GEORGIAN-PS
GOST_19768  fail: GOST_19768
GOST_1976874  fail: GOST_1976874
GOST_19768-74  fail: GOST_19768-74
GREEK  fail: GREEK
GREEK7  fail: GREEK7
GREEK7OLD  fail: GREEK7OLD
GREEK7-OLD  fail: GREEK7-OLD
GREEK8  fail: GREEK8
GREEKCCITT  fail: GREEKCCITT
GREEK-CCITT  fail: GREEK-CCITT
HEBREW  fail: HEBREW
HPGREEK8  fail: HPGREEK8
HP-GREEK8  fail: HP-GREEK8
HPROMAN8  fail: HPROMAN8
HP-ROMAN8  fail: HP-ROMAN8
HPROMAN9  fail: HPROMAN9
HP-ROMAN9  fail: HP-ROMAN9
HPTHAI8  fail: HPTHAI8
HP-THAI8  fail: HP-THAI8
HPTURKISH8  fail: HPTURKISH8
HP-TURKISH8  fail: HP-TURKISH8
HU  fail: HU
IBM037  ok: IBM037
IBM038  fail: IBM038
IBM1004  fail: IBM1004
IBM1008  fail: IBM1008
IBM-1008  fail: IBM-1008
IBM1025  ok: IBM1025
IBM-1025  ok: IBM-1025
IBM1026  ok: IBM1026
IBM1046  fail: IBM1046
IBM-1046  fail: IBM-1046
IBM1047  ok: IBM1047
IBM-1047  ok: IBM-1047
IBM1089  fail: IBM1089
IBM1097  ok: IBM1097
IBM-1097  ok: IBM-1097
IBM1112  ok: IBM1112
IBM-1112  ok: IBM-1112
IBM1122  ok: IBM1122
IBM-1122  ok: IBM-1122
IBM1123  ok: IBM1123
IBM-1123  ok: IBM-1123
IBM1124  ok: IBM1124
IBM-1124  ok: IBM-1124
IBM1129  ok: IBM1129
IBM-1129  ok: IBM-1129
IBM1130  ok: IBM1130
IBM-1130  ok: IBM-1130
IBM1132  fail: IBM1132
IBM-1132  fail: IBM-1132
IBM1133  fail: IBM1133
IBM-1133  fail: IBM-1133
IBM1137  fail: IBM1137
IBM-1137  fail: IBM-1137
IBM1140  ok: IBM1140
IBM-1140  ok: IBM-1140
IBM1141  ok: IBM1141
IBM-1141  ok: IBM-1141
IBM1142  ok: IBM1142
IBM-1142  ok: IBM-1142
IBM1143  ok: IBM1143
IBM-1143  ok: IBM-1143
IBM1144  ok: IBM1144
IBM-1144  ok: IBM-1144
IBM1145  ok: IBM1145
IBM-1145  ok: IBM-1145
IBM1146  ok: IBM1146
IBM-1146  ok: IBM-1146
IBM1147  ok: IBM1147
IBM-1147  ok: IBM-1147
IBM1148  ok: IBM1148
IBM-1148  ok: IBM-1148
IBM1149  ok: IBM1149
IBM-1149  ok: IBM-1149
IBM1153  ok: IBM1153
IBM-1153  ok: IBM-1153
